INSTNM,STABBR,COSTT4_A,AVGFACSAL,MD_EARN_WNE_P10,ADM_RATE,SAT_AVG,DEBT_MDN,UGDS
Hilbert College,NY,25575,5928,41000,0.8127,NULL,19000,991
Hobart William Smith Colleges,NY,57699,9360,51200,0.4944,NULL,26342,2311
Hofstra University,NY,49626,12848,52400,0.5871,1165,15000,6748
Houghton College,NY,38352,5802,39900,0.9108,1113,18750,1047
Hudson Valley Community College,NY,12832,7548,36300,NULL,NULL,5090,9017
Hunter Business School,NY,NULL,NULL,25500,NULL,NULL,6333,964
Institute of Design and Construction,NY,13172,NULL,43100,NULL,NULL,PrivacySuppressed,85
Institute of Audio Research,NY,NULL,NULL,29100,NULL,NULL,6000,490
Iona College,NY,44623,9082,53400,0.9212,1009,19500,3166
Isabella Graham Hart School of Practical Nursing,NY,NULL,NULL,37900,NULL,NULL,5957,76
Island Drafting and Technical Institute,NY,25648,5505,45100,NULL,NULL,12000,95
Ithaca College,NY,53521,8425,50300,0.666,NULL,22550,6202
Jamestown Community College,NY,13481,6598,29000,NULL,NULL,5150,3381
Jamestown Business College,NY,17684,5238,25300,NULL,NULL,8334,275
Jefferson Community College,NY,10288,5956,30200,NULL,NULL,3933,3148
Jewish Theological Seminary of America,NY,32130,8513,PrivacySuppressed,0.5505,1331,16000,161
The Juilliard School,NY,53212,8715,30600,0.0734,NULL,25000,498
SBI Campus-An Affiliate of Sanford-Brown,NY,16975,4745,35200,NULL,NULL,9500,274
Kehilath Yakov Rabbinical Seminary,NY,11900,1168,PrivacySuppressed,NULL,NULL,PrivacySuppressed,120
Keuka College,NY,42008,6373,41500,0.8778,NULL,19500,1830
LIM College,NY,41111,6582,45800,0.7502,907,18560,1508
Le Moyne College,NY,42068,8776,49100,0.619,1080,19250,2619
LIU Brooklyn,NY,42712,9917,46400,0.869,921,15000,4905
Long Island University,NY,44701,10748,46400,0.8067,974,15000,4067
Long Island Beauty School-Hempstead,NY,NULL,NULL,20200,NULL,NULL,7637,147
Long Island Business Institute,NY,19536,3663,18000,NULL,NULL,14000,416
LIU Hudson at Rockland,NY,NULL,12301,46400,NULL,NULL,15000,NULL
LIU Brentwood,NY,NULL,11481,46400,NULL,NULL,15000,23
Machzikei Hadath Rabbinical College,NY,18525,3537,PrivacySuppressed,1,NULL,PrivacySuppressed,148
Mandl School-The College of Allied Health,NY,25639,4083,29300,NULL,NULL,9770,786
Manhattan College,NY,44895,9042,62800,0.6617,1090,20125,3403
Manhattan School of Music,NY,53903,8745,21300,0.3431,NULL,19500,377
Manhattanville College,NY,49907,7862,45900,0.7674,1075,16500,1671
Maria College of Albany,NY,17344,5891,40600,0.1603,874,11074.5,866
Marion S Whelan School of Nursing of Geneva General Hospital,NY,NULL,NULL,PrivacySuppressed,NULL,NULL,10025,32
Marist College,NY,45962,8532,54700,0.3745,NULL,21500,5295
MarJon School of Beauty ltd-Tonawanda,NY,NULL,NULL,17700,NULL,NULL,7000,44
Marymount Manhattan College,NY,45323,8312,40400,0.7463,1053,14750,1783
Medaille College,NY,30598,5457,38500,0.5429,865,14000,1716
Memorial College of Nursing,NY,15659,6213,48400,0.5,NULL,11250,123
Memorial Hospital School of Radiation Therapy Technology,NY,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,15
Mercy College,NY,26740,8144,37000,0.5724,NULL,11000,6897
Mesivta Torah Vodaath Rabbinical Seminary,NY,21283,2299,PrivacySuppressed,0.9167,NULL,PrivacySuppressed,207
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,NY,16625,2452,PrivacySuppressed,1,NULL,PrivacySuppressed,33
Mesivtha Tifereth Jerusalem of America,NY,14400,3434,PrivacySuppressed,0.8,NULL,PrivacySuppressed,50
Southern Westchester BOCES-Practical Nursing Program,NY,NULL,NULL,58900,0.2909,NULL,9500,180
Midway Paris Beauty School,NY,NULL,NULL,14200,NULL,NULL,6163,103
Mildred Elley School-Albany Campus,NY,20857,4035,23000,NULL,NULL,7503,902
Mirrer Yeshiva Cent Institute,NY,12587,2847,PrivacySuppressed,NULL,NULL,PrivacySuppressed,160
Modern Welding School,NY,NULL,NULL,38700,NULL,NULL,7019,103
Mohawk Valley Community College,NY,12635,5330,30100,NULL,NULL,5500,5829
Molloy College,NY,36702,8716,57500,0.7267,1054,22000,3322
Monroe College,NY,21039,5274,28400,0.4404,NULL,9862.5,6426
Monroe Community College,NY,12121,6212,31800,NULL,NULL,5500,15054
Mount Saint Mary College,NY,38808,8458,47900,0.86,1006,16500,2155
Montefiore School of Nursing,NY,NULL,NULL,91100,NULL,NULL,14750,130
College of Mount Saint Vincent,NY,37738,8049,50100,0.731,919,22500,1635
Icahn School of Medicine at Mount Sinai,NY,NULL,NULL,191300,NULL,NULL,13000,NULL
Nassau Community College,NY,11811,9644,37300,NULL,NULL,5500,21051
Nazareth College,NY,41298,7831,43900,0.6839,NULL,20500,1995
Neighborhood Playhouse School of the Theater,NY,NULL,NULL,PrivacySuppressed,NULL,NULL,9500,87
The College of New Rochelle,NY,43273,8030,34400,0.5695,986,12500,3207
The New School,NY,57202,9716,43100,0.6659,1131,18936,6581
The New School Center for Media,NY,NULL,NULL,PrivacySuppressed,NULL,NULL,6335,58
New York Chiropractic College,NY,NULL,5727,45400,NULL,NULL,6500,NULL
Star Career Academy-New York,NY,NULL,NULL,PrivacySuppressed,NULL,NULL,9104,820
New York Institute of English and Business,NY,NULL,NULL,23100,NULL,NULL,NULL,247
New York Law School,NY,NULL,19029,98600,NULL,NULL,3000,NULL
New York Medical College,NY,NULL,10104,231400,NULL,NULL,PrivacySuppressed,NULL
New York School for Medical and Dental Assistants,NY,NULL,NULL,29600,NULL,NULL,8784,328
New York Theological Seminary,NY,NULL,6477,NULL,NULL,NULL,PrivacySuppressed,NULL
New York University,NY,60059,13434,59600,0.3239,1352,19500,22172
Niagara County Community College,NY,9451,6932,32300,NULL,NULL,5500,5297
Niagara University,NY,38829,8135,40500,0.6633,1038,19500,3172
Empire Beauty School-Peekskill,NY,NULL,NULL,PrivacySuppressed,NULL,NULL,6884.5,43
North Country Community College,NY,13533,4427,28000,NULL,NULL,6320,1021
New York College of Podiatric Medicine,NY,NULL,6683,88600,NULL,NULL,PrivacySuppressed,NULL
New York Institute of Technology,NY,39014,11418,53400,0.7407,1039,14375,4307
New York School of Interior Design,NY,41178,6015,40800,0.4675,970,20000,394
Nyack College,NY,34586,6525,40200,0.9671,915,11748,1818
Ohr Hameir Theological Seminary,NY,17600,3876,PrivacySuppressed,1,NULL,PrivacySuppressed,94
Onondaga Community College,NY,14775,6563,31300,NULL,NULL,5459,8664
Orange County Community College,NY,10197,7424,33800,NULL,NULL,5500,5580
Otsego Area BOCES-Practical Nursing Program,NY,NULL,NULL,PrivacySuppressed,NULL,NULL,7125,37
Pace University,NY,50625,11627,57000,0.7683,1043,16012.5,7883
Paul Smiths College of Arts and Science,NY,38860,5447,34400,0.7474,986,15250,978
Continental School of Beauty Culture-West Seneca,NY,NULL,NULL,17000,NULL,NULL,7385,111
Plaza College,NY,18845,7121,22900,0.2992,NULL,7255.5,726
Polytechnic Institute of New York University,NY,50199,10047,59600,0.7523,1303,19500,2078
Davis College,NY,21593,4587,29400,0.5859,928,10621,247
Pratt Institute-Main,NY,54582,9254,43500,0.5572,1140,22950,3247
Professional Business College,NY,29568,3312,17500,NULL,NULL,3066,884
Rabbinical Academy Mesivta Rabbi Chaim Berlin,NY,18400,3188,PrivacySuppressed,1,NULL,PrivacySuppressed,164
Rabbinical College Bobover Yeshiva Bnei Zion,NY,13955,3387,13400,NULL,NULL,PrivacySuppressed,263
Rabbinical College of Ch'san Sofer New York,NY,13100,1395,PrivacySuppressed,NULL,NULL,NULL,30
Rabbinical College Beth Shraga,NY,18750,4540,PrivacySuppressed,1,NULL,PrivacySuppressed,47
Rabbinical Seminary M'kor Chaim,NY,NULL,3180,PrivacySuppressed,1,NULL,NULL,30
Rabbinical College of Long Island,NY,NULL,3904,PrivacySuppressed,NULL,NULL,PrivacySuppressed,96
Rabbinical Seminary of America,NY,17300,2601,PrivacySuppressed,NULL,NULL,PrivacySuppressed,269
Rensselaer Polytechnic Institute,NY,59470,12145,77900,0.412,1366,26500,5379
Ridley-Lowell Business & Technical Institute-Binghamton,NY,NULL,NULL,24300,NULL,NULL,8842,193
Roberts Wesleyan College,NY,38826,6293,41000,0.726,1046,18725,1302
Everest Institute-Rochester,NY,23703,4495,23300,NULL,NULL,9500,617
Rochester Institute of Technology,NY,45772,9621,60600,0.6016,1232,23102,12587
University of Rochester,NY,59156,12762,57500,0.3568,1353,22500,6047
Rockefeller University,NY,NULL,17103,NULL,NULL,NULL,NULL,NULL
Rockland Community College,NY,13302,9174,34800,NULL,NULL,5000,6568
Empire Beauty School-Manhattan,NY,NULL,NULL,16900,NULL,NULL,6513,665
The Sage Colleges,NY,40437,5797,41700,0.5664,NULL,15550,1661
St Bernard's School of Theology and Ministry,NY,NULL,4941,NULL,NULL,NULL,PrivacySuppressed,NULL
St Bonaventure University,NY,41265,6445,44400,0.7999,1075,21290,1787
St Francis College,NY,24739,8739,44400,0.6433,940,13500,2725
St. Joseph's College of Nursing,NY,23992,7546,56200,0.4121,1015,12000,302
St Lawrence University,NY,57423,8789,46500,0.4643,NULL,24059,2391
The College of Saint Rose,NY,40267,7857,42500,0.7751,NULL,17193,2792
St. Thomas Aquinas College,NY,36823,8773,45400,0.8224,931,15000,1279
Samaritan Hospital School of Nursing,NY,19232,6160,46500,0.8,NULL,10000,163
Sarah Lawrence College,NY,62636,9806,39900,0.6166,NULL,13125,1402
Schenectady County Community College,NY,9626,5305,30100,NULL,NULL,4750,3874
Sh'or Yoshuv Rabbinical College,NY,18300,7540,PrivacySuppressed,NULL,NULL,PrivacySuppressed,190
Siena College,NY,45452,8320,54500,0.6805,1122,21638,3102
Simmons Institute of Funeral Service Inc,NY,NULL,NULL,38100,NULL,NULL,14750,22
Skidmore College,NY,58562,9067,47100,0.3505,1247,19500,2646
St. Joseph's College-New York,NY,25290,8720,52100,0.7538,1054,16000,4408
Saint Vladimirs Orthodox Theological Seminary,NY,NULL,7278,NULL,NULL,NULL,PrivacySuppressed,NULL
Spanish-American Institute,NY,NULL,NULL,19600,NULL,NULL,NULL,15
Saint Elizabeth College of Nursing,NY,23250,6836,56900,0.2632,NULL,12000,159
Saint Elizabeth College of Nursing,NY,NULL,NULL,56900,NULL,NULL,12000,13
Saint John Fisher College,NY,39014,8342,45600,0.6277,1095,20000,2948
St Paul's School of Nursing-Staten Island,NY,28127,6263,75400,NULL,NULL,16500,747
St James Mercy Hospital School of Radiologic Science,NY,12704,NULL,PrivacySuppressed,1,NULL,12000,35
St John's University-New York,NY,50233,11777,53300,0.5316,1093,18750,11147
New York Career Institute,NY,19079,5476,33100,NULL,NULL,9470,558
Branford Hall Career Institute-Bohemia Campus,NY,NULL,NULL,27500,NULL,NULL,8765,795
Sullivan County Community College,NY,13710,5181,29800,NULL,NULL,5500,1282
SUNY College of Technology at Alfred,NY,21127,5797,39800,0.5494,1090,12000,3494
SUNY College of Technology at Canton,NY,19394,6057,34800,0.7824,NULL,10661,3354
SUNY College of Technology at Delhi,NY,20134,5678,36500,0.5867,NULL,10000,3206
SUNY College of Agriculture and Technology at Cobleskill,NY,21178,6477,33400,0.7309,975,9500,2411
Farmingdale State College,NY,15258,7951,48600,0.5264,969,9061,7455
SUNY Morrisville,NY,22083,5781,32300,0.5898,930,11500,2849
SUNY at Albany,NY,21249,9423,50600,0.5545,1102,15000,12542
Binghamton University,NY,21966,9059,59200,0.4287,1297,15574.5,12940
University at Buffalo,NY,20885,10026,49900,0.5652,1158,13982,19365
Stony Brook University,NY,20704,10346,55100,0.3948,1253,14864,15724
SUNY College of Environmental Science and Forestry,NY,22550,8282,42200,0.5052,1155,15567,1694
SUNY Polytechnic Institute,NY,19843,8487,48300,0.4754,1053,11482,1714
SUNY College at Brockport,NY,19511,7181,41200,0.4774,1069,15880,7040
SUNY Buffalo State,NY,18088,7444,38600,0.4853,975,13750,9190
SUNY Cortland,NY,21840,6517,45400,0.4683,1058,17497,6394
SUNY at Fredonia,NY,20801,6817,39800,0.5154,1056,18500,5049
SUNY College at Geneseo,NY,20998,7177,46700,0.4566,1274,17510,5463
State University of New York at New Paltz,NY,20428,6719,43700,0.4359,1129,15000,6397
SUNY Oneonta,NY,20762,6242,42000,0.5073,1097,19500,5759
SUNY College at Oswego,NY,21146,6733,41500,0.4863,1110,16836,7245
SUNY College at Potsdam,NY,19829,6194,37300,0.6837,NULL,15970.5,3683
SUNY at Purchase College,NY,22381,7092,35800,0.3319,1082,16815.5,4017
SUNY College of Optometry,NY,NULL,9654,PrivacySuppressed,NULL,NULL,5550,NULL
SUNY College at Old Westbury,NY,15888,8055,43900,0.5804,998,11795.5,4045
SUNY College at Plattsburgh,NY,20371,6830,40300,0.4564,1026,17400,5494
SUNY Downstate Medical Center,NY,NULL,11620,125900,NULL,NULL,13125,346
SUNY Empire State College,NY,19760,6407,40400,0.8053,NULL,10750,9793
SUNY Maritime College,NY,21493,6536,76700,0.6396,1056,19500,1565
Upstate Medical University,NY,NULL,9696,74700,NULL,NULL,17000,284
Swedish Institute a College of Health Sciences,NY,24281,3512,29800,NULL,NULL,14400,848
Syracuse University,NY,55600,10822,58400,0.4949,1158,25750,14738
Talmudical Seminary Oholei Torah,NY,17708,4104,18200,1,NULL,PrivacySuppressed,321
Talmudical Institute of Upstate New York,NY,13000,2500,NULL,1,NULL,PrivacySuppressed,17
Teachers College at Columbia University,NY,NULL,12692,71200,NULL,NULL,PrivacySuppressed,NULL
Technical Career Institutes,NY,22032,5582,30900,NULL,NULL,9500,3019
Tompkins Cortland Community College,NY,14886,6766,29800,NULL,NULL,6848,3040
Torah Temimah Talmudical Seminary,NY,16030,5984,PrivacySuppressed,1,NULL,PrivacySuppressed,180
Touro College,NY,23347,7050,29100,0.5866,NULL,7500,6196
Trocaire College,NY,21346,5215,37900,0.9689,NULL,14250,1384
Excelsior College,NY,NULL,NULL,PrivacySuppressed,NULL,NULL,4000,37440
Ulster County Community College,NY,9927,5958,30900,NULL,NULL,4420,2234
Sanford-Brown Institute-New York,NY,NULL,NULL,27600,NULL,NULL,9500,1479
Union College,NY,58023,10454,63200,0.3728,1313,24299.5,2206
Union Theological Seminary in the City of New York,NY,NULL,6526,PrivacySuppressed,NULL,NULL,6000,NULL
United Talmudical Seminary,NY,15572,3624,15200,NULL,NULL,PrivacySuppressed,1814
United States Merchant Marine Academy,NY,6603,9562,78900,NULL,NULL,3642,958
United States Military Academy,NY,NULL,8854,NULL,0.0896,1281,NULL,4591
Utica College,NY,44394,7905,44100,0.8542,946,15500,2831
Utica School of Commerce,NY,21465,3311,25100,NULL,NULL,9500,275
Vassar College,NY,59320,11065,51400,0.2411,1394,15600,2436
Villa Maria College,NY,22374,3550,26100,0.8066,NULL,11000,456
School of Visual Arts,NY,48993,4887,40200,0.7489,1020,22500,3469
Wagner College,NY,49453,7949,55300,0.6988,1154,21420,1830
Webb Institute,NY,18520,9175,PrivacySuppressed,0.2952,1435,PrivacySuppressed,82
Wells College,NY,48142,6983,35800,0.5967,1075,16000,526
The College of Westchester,NY,32487,4946,35100,NULL,NULL,14591,1083
SUNY Westchester Community College,NY,11769,10369,37300,NULL,NULL,4874.5,12234
Westchester School of Beauty Culture,NY,NULL,NULL,PrivacySuppressed,NULL,NULL,4750,116
Wood Tobe-Coburn School,NY,21209,5411,28200,NULL,NULL,11937.5,476
Word of Life Bible Institute,NY,14910,NULL,28500,NULL,NULL,5500,562
Yeshiva Karlin Stolin,NY,12927,4205,PrivacySuppressed,1,NULL,PrivacySuppressed,119
Yeshivat Mikdash Melech,NY,16800,1967,PrivacySuppressed,1,NULL,PrivacySuppressed,152
Yeshiva Derech Chaim,NY,17260,2154,PrivacySuppressed,1,NULL,PrivacySuppressed,104
Yeshiva of Nitra Rabbinical College,NY,14737,2118,14700,NULL,NULL,PrivacySuppressed,220
Yeshiva Shaar Hatorah,NY,16360,6270,PrivacySuppressed,0.8438,NULL,PrivacySuppressed,75
Yeshiva University,NY,53825,6117,55900,0.8216,1217,10750,2887
Yeshivath Viznitz,NY,15573,2465,12800,1,NULL,PrivacySuppressed,470
Yeshivath Zichron Moshe,NY,18100,2634,PrivacySuppressed,1,NULL,PrivacySuppressed,164
College of the Albemarle,NC,11908,4996,22800,NULL,NULL,4362.5,2147
The Art Institute of Charlotte,NC,32230,4443,30300,NULL,NULL,6109,1427
South Piedmont Community College,NC,12956,4514,24300,NULL,NULL,PrivacySuppressed,1921
Appalachian State University,NC,17780,7657,36800,0.6323,1156,14110,15840
Asheville-Buncombe Technical Community College,NC,14840,4738,28400,NULL,NULL,6355,6327
Barton College,NC,37437,5838,35500,0.4177,939,20000,1043
Beaufort County Community College,NC,14383,4979,25000,NULL,NULL,5882,1587
Belmont Abbey College,NC,39328,4524,35700,0.6761,977,16198,1634
Bennett College,NC,28398,4938,28900,0.8261,NULL,14750,612
Bladen Community College,NC,12281,5584,23600,NULL,NULL,4750,1016
Blue Ridge Community College,NC,12877,4577,24800,NULL,NULL,5194,1924
Brevard College,NC,35062,5054,29100,0.4489,950,10400,700
Brookstone College-Charlotte,NC,NULL,NULL,24600,NULL,NULL,7693,128
Brunswick Community College,NC,12230,4769,22800,NULL,NULL,PrivacySuppressed,1406
Cabarrus College of Health Sciences,NC,19688,6672,42500,0.3107,998,11576,440
Caldwell Community College and Technical Institute,NC,22646,4698,25500,NULL,NULL,8250,3050
Campbell University,NC,40323,7536,44200,0.6983,1030,13500,4463
Cape Fear Community College,NC,14454,5368,27300,NULL,NULL,5500,8798
Carolina School of Broadcasting,NC,NULL,NULL,PrivacySuppressed,0.6667,NULL,8476,57
Carteret Community College,NC,12843,4857,24300,NULL,NULL,4901,1409
Catawba College,NC,37818,6342,38300,0.4058,985,15707,1273
Catawba Valley Community College,NC,15402,5720,26400,NULL,NULL,4750,3781
South College-Asheville,NC,35177,4357,19800,NULL,NULL,9500,256
Central Carolina Community College,NC,14513,4787,24000,NULL,NULL,PrivacySuppressed,4010
Central Piedmont Community College,NC,15275,5766,26300,NULL,NULL,4750,18774
Chowan University,NC,32188,6164,32600,0.6154,777,9500,1361
Cleveland Community College,NC,5111,5120,24600,NULL,NULL,PrivacySuppressed,3123
Coastal Carolina Community College,NC,13567,5042,26800,NULL,NULL,3500,4185
Craven Community College,NC,12170,5578,29100,NULL,NULL,6000,3205
Davidson County Community College,NC,12419,5231,25500,NULL,NULL,7792,3570
Davidson College,NC,54930,11706,54600,0.2561,1353,15500,1782
Duke University,NC,59528,14288,77900,0.1342,1444,6000,6501
Durham Technical Community College,NC,10210,5247,27600,NULL,NULL,5250,5116
East Carolina University,NC,19851,7975,39300,0.6217,1050,15293,20625
Edgecombe Community College,NC,11539,3846,24000,NULL,NULL,4000,2524
Elizabeth City State University,NC,10620,7545,29600,0.5715,849,15707,2276
Elon University,NC,41679,8485,49000,0.5398,1200,19500,5599
Fayetteville Beauty College,NC,NULL,NULL,PrivacySuppressed,NULL,NULL,9500,47
Fayetteville Technical Community College,NC,9451,5225,25600,NULL,NULL,5251,10681
Fayetteville State University,NC,13188,8064,29900,0.5496,851,13343,5077
Forsyth Technical Community College,NC,10733,4777,26400,NULL,NULL,5962,8642
Gardner-Webb University,NC,35790,6413,37100,0.4817,1018,14716,2559
Gaston College,NC,15539,6812,25200,NULL,NULL,2625,5743
Greensboro College,NC,37497,6025,34900,0.7831,891,17734,802
Guilford College,NC,44255,6361,36200,0.6818,1067,16140,2171
Guilford Technical Community College,NC,17563,5521,27500,NULL,NULL,7750,13419
Halifax Community College,NC,8075,4813,22700,NULL,NULL,4203.5,1197
Haywood Community College,NC,13302,5229,23100,NULL,NULL,4750,1927
Heritage Bible College,NC,13840,2646,PrivacySuppressed,NULL,NULL,12125,67
High Point University,NC,42300,6894,38200,0.6418,1087,22981.5,3996
Isothermal Community College,NC,11031,5677,22400,NULL,NULL,5023,1616
James Sprunt Community College,NC,11484,4840,23200,NULL,NULL,6000,1022
John Wesley University,NC,17288,4858,35100,0.3904,NULL,9860,386
Johnson C Smith University,NC,30314,6158,28300,0.3668,826,13750,1382
