INSTNM,DEBT_MDN,COSTT4_A,ADM_RATE,SAT_AVG,UGDS,AVGFACSAL,MD_EARN_WNE_P10
Brightwood College-Palm Springs,9393,NULL,NULL,NULL,362,3744,29500
University of Phoenix-Savannah Campus,9254,23754,NULL,NULL,359,2688,48400
University of Phoenix-Northern Nevada Campus,9254,23487,NULL,NULL,129,2281,48400
Minnesota School of Business-Rochester,18500,28352,NULL,NULL,256,3298,32700
Georgia Gwinnett College,7750,16501,NULL,NULL,9325,6554,PrivacySuppressed
Phoenix Institute of Herbal Medicine & Acupuncture,PrivacySuppressed,NULL,NULL,NULL,NULL,3900,NULL
Tucson College of Beauty,6365,NULL,NULL,NULL,64,NULL,PrivacySuppressed
California Career College,11920,NULL,NULL,NULL,78,NULL,PrivacySuppressed
Palladium Technical Academy Inc,5200,NULL,NULL,NULL,73,NULL,PrivacySuppressed
Palace Beauty College,3498,NULL,NULL,NULL,148,NULL,PrivacySuppressed
National Polytechnic College,9497,NULL,NULL,NULL,234,NULL,PrivacySuppressed
American Career College-Ontario,9500,NULL,NULL,NULL,1634,4629,PrivacySuppressed
Asher College,6363.5,NULL,NULL,NULL,686,3610,PrivacySuppressed
American Institute of Massage Therapy,5500,NULL,NULL,NULL,28,NULL,PrivacySuppressed
University of East-West Medicine,10541,NULL,NULL,NULL,NULL,3750,PrivacySuppressed
Blake Austin College,9500,NULL,NULL,NULL,321,NULL,PrivacySuppressed
Aviator College of Aeronautical Science and Technology,5743,74473,0.7,NULL,126,1804,NULL
Total International Career Institute,PrivacySuppressed,NULL,NULL,NULL,103,NULL,PrivacySuppressed
Trendsetters School of Beauty & Barbering,9500,NULL,NULL,NULL,36,NULL,PrivacySuppressed
CDA Technical Institute,7307,NULL,NULL,NULL,375,NULL,PrivacySuppressed
American Institute of Beauty,6333,NULL,NULL,NULL,65,NULL,PrivacySuppressed
North Florida Cosmetology Institute Inc,6334,NULL,NULL,NULL,167,NULL,PrivacySuppressed
Florida Academy of Health & Beauty,4000,NULL,NULL,NULL,29,NULL,PrivacySuppressed
Augusta School of Massage,3800,NULL,NULL,NULL,64,NULL,PrivacySuppressed
ATA College,12667,27707,NULL,NULL,427,4240,PrivacySuppressed
SUM Bible College and Theological Seminary,11225,26941,NULL,NULL,348,4542,PrivacySuppressed
Compass Career College,9500,NULL,NULL,NULL,162,NULL,PrivacySuppressed
Hair Expressions Academy,9500,NULL,NULL,NULL,45,NULL,PrivacySuppressed
Nuvo College of Cosmetology,5300,NULL,NULL,NULL,44,NULL,PrivacySuppressed
WellSpring School of Allied Health-Kansas City,7125,NULL,NULL,NULL,125,3222,PrivacySuppressed
Hair Academy 110,12484,NULL,NULL,NULL,20,NULL,PrivacySuppressed
Institute of Health & Technology,7114,NULL,NULL,NULL,134,NULL,PrivacySuppressed
The Salon Professional Academy-Fargo,9500,NULL,NULL,NULL,90,NULL,PrivacySuppressed
Massage Therapy Training Institute,4400,NULL,NULL,NULL,25,NULL,PrivacySuppressed
Institute of Professional Careers,6557,NULL,NULL,NULL,7,NULL,PrivacySuppressed
Elite Academy of Beauty Arts,5150,NULL,NULL,NULL,52,NULL,PrivacySuppressed
Aveda Institute-New York,6333,NULL,NULL,NULL,238,NULL,PrivacySuppressed
Northwest Regional Technology Institute,6333,NULL,NULL,NULL,18,NULL,PrivacySuppressed
National Massage Therapy Institute,9244,NULL,NULL,NULL,599,2961,PrivacySuppressed
MyrAngel Beauty Institute,PrivacySuppressed,NULL,NULL,NULL,120,NULL,PrivacySuppressed
Institute of Hair Design,6633,NULL,NULL,NULL,39,NULL,PrivacySuppressed
Tennessee Career Institute,6817,NULL,NULL,NULL,121,NULL,PrivacySuppressed
Texas Health School,5039,NULL,NULL,NULL,178,NULL,PrivacySuppressed
Mai-trix Beauty College,PrivacySuppressed,NULL,NULL,NULL,53,NULL,PrivacySuppressed
North West Beauty School,7500,NULL,NULL,NULL,45,NULL,PrivacySuppressed
Paul Mitchell the School-Logan,7666.5,NULL,NULL,NULL,42,NULL,PrivacySuppressed
Careers Unlimited,28895,NULL,NULL,NULL,176,7271,PrivacySuppressed
Mountainland Technical College,PrivacySuppressed,NULL,NULL,NULL,815,NULL,PrivacySuppressed
Avi Career Training,9500,NULL,NULL,NULL,23,NULL,PrivacySuppressed
Mountain State School of Massage,8179,NULL,NULL,NULL,21,NULL,PrivacySuppressed
Doane University-Graduate and Professional Studies,14000,12916,NULL,NULL,721,5074,44200
Shorter University-College of Adult & Professional Programs,20949,31260,NULL,NULL,922,4345,44200
The Art Institute of Indianapolis,9500,30922,NULL,NULL,862,4662,29600
Eastern International College-Belleville,11786.5,NULL,NULL,NULL,216,5298,32600
San Joaquin Valley College-Rancho Cordova,12997.5,NULL,NULL,NULL,144,6361,27100
Illinois School of Health Careers-O'Hare Campus,9104,NULL,NULL,NULL,175,NULL,21000
MedTech College,14084,NULL,NULL,NULL,603,4229,28300
Broken Arrow Beauty College-Tulsa,9432.5,NULL,NULL,NULL,88,NULL,15500
Universal Technical Institute of Northern California Inc,16000,NULL,NULL,NULL,1916,NULL,36600
ITT Technical Institute-Charlotte South,12224,26267,0.9487,NULL,369,4917,38800
ITT Technical Institute-Clovis,12224,25989,0.929,NULL,439,5060,38800
ITT Technical Institute-Dunmore,12224,24905,0.8837,NULL,186,5193,38800
ITT Technical Institute-Swartz Creek,12224,26994,0.9831,NULL,402,5316,38800
ITT Technical Institute-Lexington,12224,26994,0.7558,NULL,242,5111,38800
ITT Technical Institute-Maumee,12224,27523,0.7615,NULL,219,4267,38800
ITT Technical Institute-Oklahoma City,12224,28238,0.6635,NULL,408,4876,38800
ITT Technical Institute-Tulsa,12224,27803,0.7523,NULL,519,5189,38800
University of Phoenix-Omaha Campus,9254,NULL,NULL,NULL,27,2421,48400
University of Phoenix-Northwest Arkansas Campus,9254,23206,NULL,NULL,375,4951,48400
University of Phoenix-South Carolina,9254,23434,NULL,NULL,718,2651,48400
Argosy University-The Art Institute of California-Inland Empire,6334,31616,NULL,NULL,2307,5142,37800
National American University-Zona Rosa,6976,22091,NULL,NULL,476,5457,34800
West Hills College-Lemoore,5500,13014,NULL,NULL,3799,8996,PrivacySuppressed
Stautzenberger College-Brecksville,11609,23041,NULL,NULL,317,3687,25600
Stone Academy-East Hartford,11058,NULL,NULL,NULL,312,NULL,19500
Westwood College-Annandale,13152,32004,NULL,NULL,348,4384,28100
Unitech Training Academy-Houma,5300,NULL,NULL,NULL,70,NULL,22300
Miller-Motte Technical College-Madison,8880.5,25579,NULL,NULL,425,3644,23000
Rasmussen College-Illinois,8272.5,23827,0.7676,NULL,1791,4739,31000
International Institute for Restorative Practices,NULL,NULL,NULL,NULL,NULL,4570,NULL
Educational Technical College-Recinto de Coamo,PrivacySuppressed,NULL,NULL,NULL,254,NULL,15300
Educational Technical College-Recinto de san Sebastian,PrivacySuppressed,NULL,NULL,NULL,276,NULL,15300
Argosy University-Denver,6334,24365,NULL,NULL,151,4810,37800
CollegeAmerica-Colorado Springs,15276,28620,NULL,NULL,146,2501,24800
CollegeAmerica-Fort Collins,15276,24051,NULL,NULL,60,3500,24800
Automotive Training Center-Warminster,14094,NULL,NULL,NULL,291,NULL,43700
Sanford-Brown College-West Allis,9500,NULL,NULL,NULL,9,NULL,27900
Empire Beauty School-Milwaukee,7583,NULL,NULL,NULL,66,NULL,19100
The Robert B Miller College,11363,NULL,NULL,NULL,275,5132,PrivacySuppressed
University of Phoenix-Connecticut,9254,23434,NULL,NULL,20,NULL,48400
University of Phoenix-Harrisburg Campus,9254,23434,NULL,NULL,58,2979,48400
University of South Florida-St Petersburg,13949,18549,0.4401,1070,3955,8331,41800
Triangle Tech Inc-Bethlehem,12000,25016,NULL,NULL,133,3472,42500
Arizona State University-Downtown Phoenix,13713,22909,0.757,1085,8555,8746,45400
Milan Institute-Fresno,8971,NULL,NULL,NULL,488,NULL,16100
Branford Hall Career Institute-Albany Campus,8765,NULL,NULL,NULL,378,NULL,27500
Harris School of Business-Linwood Campus,7756,NULL,NULL,NULL,441,NULL,23400
The Art Institute of Tennessee-Nashville,9658,32308,NULL,NULL,991,4102,30400
Strayer University-Florida,6334,32554,NULL,NULL,2004,6628,47300
Pima Medical Institute-Renton,8313,NULL,NULL,NULL,889,5140,27700
College of Business and Technology-Main Campus,8700,21062,NULL,NULL,323,3500,23900
College of Business and Technology-Hialeah,8700,21898,NULL,NULL,178,3672,23900
Platt College-Miller-Motte-Cary,9500,24929,NULL,NULL,320,4015,19000
Miami-Jacobs Career College-Springboro,9500,26887,NULL,NULL,222,4431,24800
Dewey University-Juana Diaz,PrivacySuppressed,12217,NULL,NULL,395,NULL,16100
Dewey University-Fajardo,PrivacySuppressed,12304,NULL,NULL,188,NULL,16100
Dewey University-Arroyo,PrivacySuppressed,12339,NULL,NULL,169,NULL,16100
Regency Beauty Institute-Independence,9410,NULL,NULL,NULL,73,NULL,21800
Regency Beauty Institute-St Peters,9410,NULL,NULL,NULL,111,NULL,21800
Regency Beauty Institute-Peoria,9410,NULL,NULL,NULL,78,NULL,21800
Regency Beauty Institute-Greenwood,9410,NULL,NULL,NULL,69,NULL,21800
Regency Beauty Institute-Mehlville,9410,NULL,NULL,NULL,43,NULL,21800
Regency Beauty Institute-Duluth,9410,NULL,NULL,NULL,51,NULL,21800
Regency Beauty Institute-Fairview Heights,9410,NULL,NULL,NULL,73,NULL,21800
Regency Beauty Institute-Champaign,9410,NULL,NULL,NULL,78,NULL,21800
Regency Beauty Institute-Olathe,9410,NULL,NULL,NULL,63,NULL,21800
The College of Health Care Professions-San Antonio,7917,NULL,1,NULL,272,NULL,28200
Altierus Career Education-South Plainfield,9500,NULL,NULL,NULL,697,NULL,20900
Daymar College-Madisonville,12539.5,NULL,NULL,NULL,33,2733,21200
Brittany Beauty Academy,7916,NULL,NULL,NULL,176,NULL,16400
Lincoln Technical Institute-Whitestone,10500,NULL,NULL,NULL,748,NULL,33800
American Public University System,3155.5,14185,NULL,NULL,42460,4386,PrivacySuppressed
Huntsville Bible College,9500,12805,NULL,NULL,118,NULL,NULL
Beaumont Adult School,9500,NULL,NULL,NULL,118,NULL,PrivacySuppressed
Make-up Designory,4962,NULL,NULL,NULL,241,NULL,PrivacySuppressed
Video Symphony,12708.5,NULL,NULL,NULL,78,NULL,PrivacySuppressed
Gnomon,26995,34428,0.8333,NULL,135,NULL,PrivacySuppressed
Coachella Valley Beauty College,1826,NULL,NULL,NULL,129,NULL,PrivacySuppressed
Career College of California,9258,NULL,NULL,NULL,206,NULL,PrivacySuppressed
Valley College of Medical Careers,8484,NULL,NULL,NULL,90,NULL,PrivacySuppressed
Academy of Natural Therapy Inc,9500,NULL,NULL,NULL,69,3000,PrivacySuppressed
Academy Di Capelli-School of Cosmetology,9701.5,NULL,NULL,NULL,29,NULL,PrivacySuppressed
Delaware Learning Institute of Cosmetology,6200,NULL,NULL,NULL,80,NULL,PrivacySuppressed
Dragon Rises College of Oriental Medicine,PrivacySuppressed,NULL,NULL,NULL,NULL,2500,NULL
Palm Beach Academy of Health & Beauty,5461.5,NULL,NULL,NULL,113,NULL,PrivacySuppressed
SABER College,19000,NULL,0.6512,NULL,544,4838,PrivacySuppressed
Taylor College,15187,22237,NULL,NULL,299,7196,PrivacySuppressed
Pensacola School of Massage Therapy & Health Careers,4505,NULL,NULL,NULL,46,NULL,PrivacySuppressed
Hawaii College of Oriental Medicine,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL
Ideal Beauty Academy,4750,NULL,NULL,NULL,33,NULL,PrivacySuppressed
Denmark College,7628.5,NULL,NULL,NULL,130,NULL,PrivacySuppressed
Louisiana Culinary Institute,12000,25225,0.7451,NULL,195,4657,PrivacySuppressed
Bais Medrash Toras Chesed,PrivacySuppressed,14700,0.4605,NULL,114,3508,PrivacySuppressed
Center for Natural Wellness School of Massage Therapy,9500,NULL,1,NULL,66,NULL,PrivacySuppressed
Ace Institute of Technology,4750,NULL,NULL,NULL,119,NULL,NULL
New Age Training,1270,8550,NULL,NULL,124,NULL,PrivacySuppressed
Dayton School of Medical Massage,9500,26741,NULL,NULL,505,NULL,PrivacySuppressed
Northcoast Medical Training Academy,9500,NULL,NULL,NULL,202,NULL,PrivacySuppressed
American Institute of Medical Technology,15929,NULL,0.3034,NULL,65,NULL,PrivacySuppressed
Carib Technological Institute,NULL,NULL,NULL,NULL,59,NULL,PrivacySuppressed
Visible Music College,19500,32800,0.5536,1070,118,3083,PrivacySuppressed
CCI Training Center-Arlington,8313,NULL,NULL,NULL,199,NULL,PrivacySuppressed
Champion Beauty College,7917,NULL,NULL,NULL,70,NULL,PrivacySuppressed
Professional Careers Institute,7125,NULL,NULL,NULL,93,NULL,PrivacySuppressed
Southeast Texas Career Institute,5268,NULL,NULL,NULL,119,NULL,PrivacySuppressed
Southwest Technical College,PrivacySuppressed,NULL,NULL,NULL,158,NULL,PrivacySuppressed
Academy of Cosmetology,8100,NULL,NULL,NULL,64,NULL,PrivacySuppressed
Milwaukee Career College,7520,NULL,0.7207,NULL,88,3492,PrivacySuppressed
University of the West,PrivacySuppressed,19082,NULL,NULL,78,6073,NULL
American College of Education,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South University-Tampa,6109,28639,0.6327,NULL,654,6198,30300
Milan Institute of Cosmetology-San Antonio Military,9500,NULL,NULL,NULL,248,NULL,16000
Appalachian College of Pharmacy,PrivacySuppressed,NULL,NULL,NULL,NULL,7654,NULL
Averett University-Non-Traditional Programs,15500,NULL,NULL,NULL,790,5570,41500
Paul Mitchell the School-Tampa,9833,NULL,NULL,NULL,194,NULL,19900
Paul Mitchell the School-San Diego,9833,NULL,NULL,NULL,301,NULL,19900
Paul Mitchell the School-Michigan,9833,NULL,NULL,NULL,237,NULL,19900
Paul Mitchell the School-Sherman Oaks,10556,NULL,NULL,NULL,280,NULL,NULL
Paul Mitchell the School-Tysons Corner,9833,NULL,NULL,NULL,181,NULL,16000
Miami-Jacobs Career College-Troy,9500,26693,NULL,NULL,277,4408,24800
Blue Cliff College-Houma,6988,25260,NULL,NULL,167,NULL,22400
The Art Institute of Salt Lake City,9500,30943,NULL,NULL,466,4471,29600
Fortis College-Columbus,9500,22707,NULL,NULL,628,6991,26600
Fortis College-Cincinnati,9500,30890,NULL,NULL,501,4848,26600
Fortis Institute-Baltimore,6333,NULL,NULL,NULL,543,NULL,36000
The Art Institute of Charleston,9658,32345,NULL,NULL,643,4187,30400
Argosy University-The Art Institute of California-Sacramento,6334,33645,NULL,NULL,1185,4976,37800
Blue Cliff College-Fayetteville,6988,26062,NULL,NULL,181,NULL,22400
Blue Cliff College-Alexandria,6988,25618,NULL,NULL,231,2403,22400
StenoTech Career Institute-Piscataway,18734,NULL,1,NULL,80,NULL,PrivacySuppressed
Anthem College-Brookfield,9155,29375,NULL,NULL,286,3656,22100
Ultimate Medical Academy-Tampa,9019,NULL,NULL,NULL,11170,3874,25200
Beauty Schools of America-North Miami Beach,8333,NULL,NULL,NULL,482,NULL,15000
Virginia College-Biloxi,9500,21900,NULL,NULL,470,2873,24400
ITT Technical Institute-St Petersburg,12224,28675,0.6494,NULL,230,5306,38800
ITT Technical Institute-Baton Rouge,12224,25584,0.9588,NULL,656,4522,38800
ITT Technical Institute-Columbia,12224,27753,0.9478,NULL,357,5463,38800
ITT Technical Institute-Wichita,12224,28306,0.8131,NULL,303,5123,38800
ITT Technical Institute-Atlanta,12224,28314,0.8254,NULL,483,5107,38800
ITT Technical Institute-Mobile,12224,27412,0.8134,NULL,690,4706,38800
ITT Technical Institute-Chattanooga,12224,27630,0.9432,NULL,206,5311,38800
ITT Technical Institute-South Bend,12224,27932,0.7039,NULL,330,4708,38800
Virginia College-Chattanooga,9500,20882,NULL,NULL,410,3111,24400
Strayer University-Delaware,6334,NULL,NULL,NULL,254,5992,47300
Brite Divinity School,19000,NULL,NULL,NULL,NULL,9001,49900
Strayer University-Alabama,6334,32554,NULL,NULL,389,6356,47300
Brown Aveda Institute-Strongsville,9500,NULL,NULL,NULL,151,NULL,21600
Clary Sage College,9486,NULL,NULL,NULL,312,3275,20600
Broadview University-Layton,10800,28230,NULL,NULL,155,3357,25900
International Academy of Design and Technology-Sacramento,14166,23090,NULL,NULL,194,4852,28400
University of Phoenix-Alabama,9254,23918,NULL,NULL,271,2738,48400
Sanford-Brown College-San Antonio,14166,24391,NULL,NULL,356,4194,28400
University of Phoenix-Augusta Campus,9254,23268,NULL,NULL,735,2677,48400
University of Phoenix-Washington DC,9254,23434,NULL,NULL,303,2093,48400
University of Phoenix-Chattanooga Campus,9254,23903,NULL,NULL,408,4969,48400
Argosy University-Inland Empire,6334,24461,NULL,NULL,387,NULL,37800
Argosy University-Nashville,6334,24365,NULL,NULL,207,5515,37800
Argosy University-San Diego,6334,27325,NULL,NULL,270,NULL,37800
Rasmussen College-Wisconsin,8272.5,24691,0.7414,NULL,1491,5535,31000
Empire Beauty School-Lisle,5500,NULL,NULL,NULL,88,NULL,17800
Empire Beauty School-Richmond,5500,NULL,NULL,NULL,140,NULL,17800
Empire Beauty School-North Hills,6000,NULL,NULL,NULL,127,NULL,17200
Empire Beauty School-Concord,5500,NULL,NULL,NULL,123,NULL,17000
Empire Beauty School-Arlington Heights,6222,NULL,NULL,NULL,122,NULL,21000
Lexington Healing Arts Academy,7389,NULL,NULL,NULL,154,NULL,PrivacySuppressed
Empire Beauty School-Hooksett,9500,NULL,NULL,NULL,119,NULL,18800
The Institute of Beauty and Wellness,7917,NULL,NULL,NULL,225,NULL,PrivacySuppressed
InterCoast Colleges-Carson,9500,NULL,NULL,NULL,33,NULL,22800
InterCoast Career Institute-South Portland,9500,NULL,NULL,NULL,101,NULL,22800
Carrington College-Stockton,11771,NULL,1,NULL,465,4331,29000
Carrington College-Citrus Heights,11771,NULL,1,NULL,451,4238,29000
Euphoria Institute of Beauty Arts & Sciences-Summerlin,7528,NULL,NULL,NULL,142,NULL,27700
Euphoria Institute of Beauty Arts & Sciences-Green Valley,7528,NULL,NULL,NULL,172,NULL,27700
Empire Beauty School-Portsmouth,8311.5,NULL,NULL,NULL,104,NULL,19300
LIU Riverhead,15000,NULL,NULL,NULL,56,9735,46400
Regency Beauty Institute-Lakewood,9410,NULL,NULL,NULL,81,NULL,21800
Regency Beauty Institute-Westminster,9410,NULL,NULL,NULL,114,NULL,21800
Regency Beauty Institute-Avon,9410,NULL,NULL,NULL,41,NULL,21800
Regency Beauty Institute-Joliet,9410,NULL,NULL,NULL,57,NULL,21800
Regency Beauty Institute-Rockford,9410,NULL,NULL,NULL,113,NULL,21800
Regency Beauty Institute-Greenfield,9410,NULL,NULL,NULL,114,NULL,21800
Regency Beauty Institute-Metro Center,9410,NULL,NULL,NULL,32,NULL,21800
Regency Beauty Institute-East Tucson,9410,NULL,NULL,NULL,94,NULL,21800
Regency Beauty Institute-Tri-County,9410,NULL,NULL,NULL,46,NULL,21800
Regency Beauty Institute-Eastgate,9410,NULL,NULL,NULL,84,NULL,21800
Regency Beauty Institute-Topeka,9410,NULL,NULL,NULL,57,NULL,21800
Columbia Southern University,5644.5,13265,NULL,NULL,14685,4455,PrivacySuppressed
Arizona Summit Law School,PrivacySuppressed,NULL,NULL,NULL,NULL,8111,NULL
Arizona Culinary Institute,9500,NULL,NULL,NULL,136,NULL,PrivacySuppressed
Healthcare Career College,8812,NULL,NULL,NULL,181,NULL,PrivacySuppressed
Trident University International,4750,18864,NULL,NULL,3790,7811,PrivacySuppressed
Coastline Beauty College,PrivacySuppressed,NULL,NULL,NULL,197,NULL,PrivacySuppressed
Eagle Rock College,9500,NULL,NULL,NULL,146,NULL,PrivacySuppressed
San Diego College,9077,NULL,NULL,NULL,278,NULL,PrivacySuppressed
Montessori Casa International,PrivacySuppressed,NULL,NULL,NULL,22,NULL,NULL
Branford Academy of Hair and Cosmetology,9833,NULL,NULL,NULL,64,NULL,PrivacySuppressed
Academy of Massage and Bodywork,6095,NULL,NULL,NULL,68,NULL,PrivacySuppressed
Digital Media Arts College,20066,24572,NULL,NULL,265,3671,PrivacySuppressed
Academy for Five Element Acupuncture,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL
Academy of Career Training,5205,NULL,NULL,NULL,152,NULL,PrivacySuppressed
Miami Regional College,5500,NULL,NULL,NULL,507,3777,PrivacySuppressed
Paul Mitchell the School-Miami,11667,NULL,NULL,NULL,119,NULL,PrivacySuppressed
Wolford College,PrivacySuppressed,NULL,NULL,NULL,NULL,14361,NULL
Aveda Institute-South Florida,10555,NULL,NULL,NULL,619,NULL,PrivacySuppressed
Aveda Institute-Tallahassee,9500,NULL,NULL,NULL,666,NULL,PrivacySuppressed
Shear Excellence Hair Academy,8500,NULL,NULL,NULL,103,NULL,PrivacySuppressed
